origin,destination,window_days,price_low_usd,price_high_usd,typical_airlines,cited_websites,brands,notes
JFK,MEL,45,1200,2000,"Qantas, American Airlines, United Airlines, Delta Air Lines, Virgin Australia","expedia.com, kayak.com, skyscanner.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,WAW,45,600,1000,"LOT Polish Airlines, United Airlines, Lufthansa, British Airways",,"British Airways, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,TLV,45,600,1200,"El Al, United Airlines, Delta, American Airlines, Lufthansa",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,LGW,45,500,900,"British Airways, Norwegian Air, American Airlines, Delta Air Lines","expedia.com, kayak.com, skyscanner.com","American, British Airways, Delta","Prices can fluctuate based on demand, time of booking, and seasonal factors."
JFK,AMS,45,450,900,"Delta, KLM, United, American Airlines, Icelandair",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,HKG,45,800,1500,"Cathay Pacific, United Airlines, Delta Air Lines, American Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,AMS,45,500,1200,"Delta, KLM, United, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and seasonality."
JFK,PHX,45,150,400,"American Airlines, Delta Air Lines, JetBlue Airways, Southwest Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,TPA,45,80,250,"JetBlue, American Airlines, Delta, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,YYZ,45,150,350,"United Airlines, Air Canada, JetBlue, American Airlines",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,YVR,45,300,600,"United Airlines, Air Canada, Alaska Airlines","expedia.com, kayak.com","Alaska, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,DUB,45,400,800,"United Airlines, Aer Lingus, Delta Air Lines, American Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, United",Prices can vary based on demand and booking time. It's advisable to book early for better rates.
EWR,FRA,45,500,900,"Lufthansa, United Airlines, British Airways, Delta Air Lines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,FCO,45,600,1200,"Delta, American Airlines, United, Alitalia, JetBlue","google.com, kayak.com, expedia.com","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,KUL,45,800,1500,"United Airlines, Delta Air Lines, Singapore Airlines, Cathay Pacific","google.com/flights, kayak.com, skyscanner.com","Delta, United","Prices can vary based on demand, time of booking, and layover options."
JFK,VCE,45,500,1200,"Delta, American Airlines, United, Alitalia, Lufthansa","kayak.com, expedia.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SFO,45,150,400,"United Airlines, JetBlue, Delta Air Lines, American Airlines",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,ORD,45,100,300,"American Airlines, United Airlines, Delta Air Lines, Southwest Airlines",,"American, Delta, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,NCE,45,600,1200,"United Airlines, Delta Air Lines, Air France, British Airways",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LAS,45,150,400,"United Airlines, Spirit Airlines, JetBlue, American Airlines",,"American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,HEL,45,500,900,"Finnair, American Airlines, Delta, Lufthansa",,"American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SAL,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Avianca",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BOS,45,80,250,"JetBlue, American Airlines, Delta",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,PRG,45,600,1200,"Delta, American Airlines, Lufthansa, British Airways, United Airlines",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,CLT,45,100,250,"American Airlines, Delta Air Lines, Southwest Airlines",,"American, Delta, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,DXB,45,800,1500,"Emirates, Delta, United, American Airlines, Qatar Airways",,"American, Delta, United","Prices can vary significantly based on demand, layovers, and booking time."
EWR,IST,45,600,1200,"Turkish Airlines, United Airlines, Delta Air Lines, Lufthansa",,"Delta, United","Prices can vary based on demand, time of booking, and flight availability."
EWR,HNL,45,600,1200,"United Airlines, Hawaiian Airlines, American Airlines, Delta Air Lines","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,IST,45,600,1200,"Turkish Airlines, Delta, United, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MBJ,45,300,600,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United",Prices can vary based on demand and booking time; consider booking in advance for better rates.
JFK,DOH,45,800,1500,"Qatar Airways, American Airlines, British Airways",,"American, British Airways","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,PTY,45,300,600,"American Airlines, Delta Air Lines, United Airlines, Copa Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,OSL,45,500,900,"Norwegian Air, SAS, Delta, Lufthansa",,Delta,Prices can vary based on demand and specific travel dates.
JFK,BOS,45,100,250,"JetBlue, American Airlines, Delta",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,BUD,45,600,1200,"Lufthansa, British Airways, Delta, Air France, United Airlines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,PDX,45,150,400,"Delta, American Airlines, JetBlue, Alaska Airlines",,"Alaska, American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,CPH,45,500,900,"SAS, United Airlines, Lufthansa, British Airways",,"British Airways, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,ORD,45,100,300,"American Airlines, United Airlines, Delta Air Lines, JetBlue Airways","expedia.com, kayak.com, google.com/flights","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,AMS,45,450,900,"United Airlines, KLM, Delta Air Lines, British Airways",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LIS,45,400,800,"TAP Air Portugal, American Airlines, Delta Air Lines, United Airlines, Iberia",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,MEL,45,950,1500,"Qantas, American Airlines, United Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,ARN,45,400,800,"SAS, Norwegian Air, Delta, American Airlines","expedia.com, kayak.com","American, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,RUH,45,800,1500,"Saudi Arabian Airlines, United Airlines, American Airlines, Lufthansa",,"American, United","Prices can vary based on demand, time of booking, and flight connections."
JFK,CDG,45,400,900,"Air France, Delta, American Airlines, British Airways",,"American, British Airways, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,PTY,45,300,600,"United Airlines, Copa Airlines, American Airlines",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,VCE,45,600,1200,"Delta, American Airlines, United, Alitalia, Lufthansa","kayak.com, expedia.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SAP,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Spirit Airlines",,"American, Delta, Spirit, United","Prices can vary based on demand, time of booking, and flight availability."
EWR,FLL,45,80,250,"JetBlue, Spirit Airlines, United Airlines, American Airlines","expedia.com, kayak.com, google.com/flights","American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,OSL,45,400,800,"Norwegian Air, SAS, Delta, Lufthansa",,Delta,"Prices can vary based on demand, time of booking, and seasonality."
EWR,SAL,45,300,600,"United Airlines, Avianca, American Airlines",,"American, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,YVR,45,300,600,"Delta, American Airlines, Air Canada, Alaska Airlines",,"Alaska, American, Delta",Prices can vary based on demand and specific travel dates.
EWR,AUA,45,350,600,"United Airlines, JetBlue Airways, American Airlines",,"American, JetBlue, United",Prices can fluctuate based on demand and booking time; consider booking in advance for better rates.
LGA,UIO,45,400,800,"American Airlines, Delta Air Lines, JetBlue Airways, United Airlines",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,NAS,45,250,500,"JetBlue, American Airlines, Delta, United","expedia.com, kayak.com","American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal trends."
JFK,GUA,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Avianca",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,OGG,45,600,900,"American Airlines, Delta Air Lines, United Airlines, Hawaiian Airlines",,"American, Delta, United",Prices can fluctuate based on demand and booking time. It's advisable to book early for better rates.
JFK,MAD,45,400,800,"Iberia, American Airlines, Delta, Air Europa, British Airways","expedia.com, kayak.com, skyscanner.com","American, British Airways, Delta","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BKK,45,800,1500,"United Airlines, Thai Airways, Delta Air Lines, Cathay Pacific, Singapore Airlines",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SIN,45,800,1500,"Singapore Airlines, United Airlines, Delta Air Lines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and flight connections."
LGA,LHR,45,500,1200,"British Airways, American Airlines, Delta Air Lines, Virgin Atlantic",,"American, British Airways, Delta, Virgin Atlantic","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,MAN,45,500,900,"United Airlines, British Airways, American Airlines, Delta Air Lines",,"American, British Airways, Delta, United",Prices can vary based on demand and booking time; consider booking in advance for better rates.
EWR,SYD,45,1200,1800,"Qantas, United Airlines, American Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,TLV,45,600,1200,"El Al, Delta, United, American Airlines, Lufthansa",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,FCO,45,500,900,"United Airlines, Delta Air Lines, American Airlines, Alitalia","kayak.com, expedia.com, google.com/flights","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,HEL,45,600,1200,"Finnair, United Airlines, Lufthansa, British Airways",,"British Airways, United","Prices can vary based on demand, time of booking, and seasonal trends."
LGA,DCA,45,100,250,"American Airlines, Delta Air Lines, JetBlue Airways",,"American, Delta, JetBlue",Prices can vary based on demand and booking time; expect higher prices closer to departure.
JFK,MEX,45,300,600,"American Airlines, Delta Air Lines, United Airlines, Aeroméxico","google.com/flights, kayak.com, skyscanner.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,PHX,45,150,400,"United Airlines, American Airlines, Southwest Airlines, JetBlue",,"American, JetBlue, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,OGG,45,600,1200,"American Airlines, Delta Air Lines, United Airlines, Hawaiian Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BUD,45,600,1200,"United Airlines, Lufthansa, British Airways, Delta Air Lines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BCN,45,500,900,"Delta, American Airlines, Iberia, United",,"American, Delta, United",Prices can vary based on demand and booking time; consider flexibility for better rates.
LGA,YWG,45,300,600,"Delta, United, American Airlines, WestJet",,"American, Delta, United",Prices can vary based on demand and booking time; consider booking in advance for better rates.
EWR,HAM,45,600,1200,"Lufthansa, United Airlines, British Airways, Delta Air Lines",,"British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,SAP,45,300,600,"American Airlines, United Airlines, Delta Air Lines, Spirit Airlines","expedia.com, kayak.com, google.com/flights","American, Delta, Spirit, United","Prices can vary based on demand, time of booking, and flight availability."
LGA,SAN,45,150,400,"JetBlue, American Airlines, Delta, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,KUL,45,800,1300,"United Airlines, Malaysia Airlines, Singapore Airlines, Qatar Airways",,United,"Prices can vary based on demand, time of booking, and layover options."
LGA,MXP,45,500,1200,"Delta, American Airlines, United, Alitalia",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SDQ,45,250,500,"JetBlue, American Airlines, United Airlines, Delta",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,BCN,45,400,800,"American Airlines, Delta Air Lines, Iberia, JetBlue, United Airlines",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LAX,45,150,400,"American Airlines, Delta Air Lines, JetBlue Airways, United Airlines",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,EDI,45,500,900,"British Airways, American Airlines, Delta, United Airlines",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,DFW,45,150,350,"American Airlines, Delta Air Lines, Southwest Airlines",,"American, Delta, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,NAS,45,250,600,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal factors."
EWR,ATL,45,80,250,"Delta, American Airlines, United, Southwest",,"American, Delta, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,VCE,45,600,1200,"United Airlines, Delta Air Lines, Lufthansa, British Airways","expedia.com, kayak.com, google.com/flights","British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BHX,45,600,1200,"British Airways, American Airlines, Delta Air Lines, United Airlines",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,IAH,45,150,350,"United Airlines, American Airlines, Delta Air Lines, JetBlue Airways",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BRU,45,600,1200,"Delta, United, American Airlines, Lufthansa, British Airways",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,BKK,45,800,1500,"Delta, United, American Airlines, Cathay Pacific, Singapore Airlines","google.com, kayak.com, expedia.com","American, Delta, United","Prices can vary significantly based on demand, time of booking, and layover options."
LGA,MBJ,45,300,600,"JetBlue, American Airlines, Delta, Southwest","expedia.com, kayak.com, google.com/flights","American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and seasonal trends."
LGA,HEL,45,600,1200,"Finnair, American Airlines, Delta, Lufthansa",,"American, Delta","Prices can vary based on demand, time of booking, and seasonal trends."
JFK,EZE,45,800,1300,"American Airlines, Delta Air Lines, United Airlines, LATAM Airlines, Avianca",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,BRU,45,400,800,"Delta, United, American Airlines, Brussels Airlines, Icelandair","google.com, kayak.com, expedia.com","American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,HKG,45,800,1500,"Cathay Pacific, American Airlines, United Airlines, Delta Air Lines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,LIS,45,500,900,"Delta, American Airlines, United, Iberia, TAP Air Portugal",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,LAS,45,150,400,"JetBlue, American Airlines, Delta, Southwest",,"American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,AMM,45,700,1200,"United Airlines, Royal Jordanian, Delta Air Lines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and flight connections."
JFK,YUL,45,150,300,"Air Canada, Delta, American Airlines, JetBlue",,"American, Delta, JetBlue",Prices can vary based on demand and booking time; early booking generally yields better rates.
JFK,FLL,45,80,250,"JetBlue, American Airlines, Delta, Spirit Airlines",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,AUA,45,300,600,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,PBI,45,100,300,"JetBlue, American Airlines, Delta",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,DEN,45,150,400,"United Airlines, Delta Air Lines, JetBlue Airways, Southwest Airlines",,"Delta, JetBlue, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,GCM,45,300,600,"JetBlue, American Airlines, United Airlines",,"American, JetBlue, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,PUJ,45,300,600,"JetBlue, American Airlines, Delta, Spirit Airlines",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,MCO,45,80,250,"JetBlue, American Airlines, Delta, Southwest","google.com, kayak.com, expedia.com","American, Delta, JetBlue, Southwest","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,BOG,45,300,600,"Avianca, United Airlines, American Airlines",,"American, United",Prices can vary based on demand and booking time; consider booking in advance for better rates.
JFK,SEA,45,150,400,"Delta, Alaska Airlines, American Airlines, JetBlue",,"Alaska, American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SAN,45,150,400,"United Airlines, American Airlines, Southwest Airlines, JetBlue Airways",,"American, JetBlue, Southwest, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,DEN,45,100,300,"United Airlines, JetBlue, Southwest Airlines, Spirit Airlines",,"JetBlue, Southwest, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,PBI,45,100,300,"JetBlue, United Airlines, American Airlines",,"American, JetBlue, United",Prices can vary based on demand and booking time; consider booking in advance for better rates.
JFK,IAD,45,100,250,"American Airlines, United Airlines, JetBlue Airways",,"American, JetBlue, United",Prices can vary based on demand and booking time; expect higher prices closer to departure.
JFK,GIG,45,600,1200,"American Airlines, Delta Air Lines, LATAM Airlines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and seasonal factors."
JFK,BHX,45,600,1200,"British Airways, American Airlines, Delta, United Airlines","expedia.com, kayak.com, skyscanner.com","American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,NRT,45,800,1500,"United Airlines, All Nippon Airways, Japan Airlines, Delta Air Lines",,"Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,GUA,45,300,600,"United Airlines, American Airlines, Spirit Airlines","expedia.com, kayak.com, google.com/flights","American, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,YUL,45,150,300,"United Airlines, Air Canada, JetBlue",,"JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SJU,45,150,400,"JetBlue, American Airlines, Delta, Spirit Airlines",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,EDI,45,600,1200,"United Airlines, British Airways, Delta Air Lines, American Airlines",,"American, British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,YUL,45,150,300,"Air Canada, Delta, American Airlines, JetBlue",,"American, Delta, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,IAH,45,150,350,"United Airlines, American Airlines, Spirit Airlines, JetBlue",,"American, JetBlue, Spirit, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LIS,45,450,800,"United Airlines, TAP Air Portugal, Delta Air Lines, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,AMM,45,800,1200,"Delta, United, Royal Jordanian, American Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and flight connections."
LGA,PRG,45,600,1200,"Lufthansa, United Airlines, British Airways, Delta Air Lines, Air France","expedia.com, kayak.com, google.com/flights","British Airways, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,EZE,45,700,1200,"United Airlines, American Airlines, Delta Air Lines, LATAM Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,ARN,45,400,800,"SAS, United Airlines, Lufthansa, Delta Air Lines","expedia.com, kayak.com","Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
LGA,SDQ,45,250,500,"JetBlue, American Airlines, Delta, United",,"American, Delta, JetBlue, United","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,LGW,45,400,800,"British Airways, Norwegian Air, JetBlue, American Airlines",,"American, British Airways, JetBlue","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SEA,45,150,400,"United Airlines, Delta Air Lines, Alaska Airlines, American Airlines",,"Alaska, American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,GRU,45,600,1200,"American Airlines, LATAM Airlines, Delta Air Lines, United Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and seasonality."
LGA,MIA,45,100,300,"American Airlines, JetBlue, Delta, Spirit Airlines",,"American, Delta, JetBlue, Spirit","Prices can vary based on demand, time of booking, and specific travel dates."
EWR,SCL,45,600,1200,"American Airlines, Delta Air Lines, United Airlines, LATAM Airlines",,"American, Delta, United","Prices can vary based on demand, time of booking, and specific travel dates."
JFK,MAN,45,500,900,"British Airways, American Airlines, Delta, Virgin Atlantic",,"American, British Airways, Delta, Virgin Atlantic","Prices can vary based on demand, time of booking, and specific travel dates."
